0.171,3.2285
0.207,2.8413
0.508,1.0005
0.423,1.0735
0.517,1.062
0.942,3.9025
0.033,3.9304
0.16,3.2572
0.199,2.924
0.133,3.4952
0.085,3.785
0.758,2.5445
0.597,1.2115
0.69,1.9296
0.272,2.3686
0.067,3.8569
0.564,1.1196
0.052,3.8719
0.309,2.0578
0.012,3.9612
0.716,2.2864
0.723,2.2565
0.492,1.0258
0.268,2.3705
0.222,2.7815
0.191,2.9929
0.945,3.9988
0.569,1.16
0.874,3.5508
0.801,2.9981
0.401,1.3264
0.089,3.8572
0.956,3.9319
0.682,1.8897
0.347,1.5721
0.84,3.3048
0.678,1.7752
0.429,1.154
0.822,3.2126
0.343,1.7828
0.44,1.1202
0.75,2.572
0.392,1.3356
0.601,1.2852
0.426,1.2261
0.842,3.2993
0.449,1.0326
0.937,3.9039
0.187,3.0806
0.245,2.5336
0.131,3.5226
0.412,1.2406
0.873,3.4786
0.334,1.7092
0.971,4.0255
0.949,3.9639
0.754,2.4864
0.996,3.9418
0.162,3.263
0.608,1.273
0.134,3.4761
0.443,0.99563
0.486,1.0547
0.126,3.5201
0.675,1.8345
0.698,1.9784
0.756,2.641
0.263,2.382
0.846,3.2466
0.502,1.0472
0.422,1.1798
0.099,3.7669
0.249,2.6575
0.728,2.2384
0.273,2.2948
0.974,3.8811
0.643,1.5118
0.121,3.5448
0.432,1.1559
0.562,1.1562
0.137,3.4345
0.554,1.1414
0.998,3.9773
0.727,2.3123
0.221,2.8999
0.934,3.9042
0.237,2.6406
0.57,1.1002
0.523,0.92521
0.383,1.3607
0.315,1.8765
0.669,1.7344
0.367,1.5551
0.056,3.9335
0.024,3.9435
0.387,1.3991
0.428,1.2495
0.325,1.7888
0.548,1.0872
0.648,1.541
0.785,2.8444
0.393,1.2443
0.306,2.1163
0.21,2.906
0.955,3.9085
0.762,2.6484
0.53,1.0569
0.531,1.1756
0.857,3.4047
0.611,1.4212
0.023,4.0307
0.748,2.4779
0.941,3.8785
0.072,3.893
0.695,2.0946
0.493,1.0348
0.059,3.8922
0.407,1.306
0.621,1.3259
0.537,1.0641
0.084,3.7545
0.994,3.9991
0.593,1.2461
0.079,3.842
0.088,3.6468
0.673,1.7921
0.513,1.0782
0.319,1.8242
0.14,3.4964
0.208,2.9545
0.092,3.7864
0.175,3.2835
0.304,1.907
0.473,1.072
0.257,2.3801
0.179,3.0904
0.599,1.3192
0.239,2.5371
0.021,4.0328
0.781,2.7557
0.692,2.0436
0.458,1.0237
0.544,1.0311
0.323,1.8392
0.848,3.433
0.596,1.2631
0.683,1.9793
0.186,3.1002
0.114,3.7083
0.856,3.4303
0.371,1.5541
0.218,2.8291
0.902,3.6886
0.402,1.1896
0.103,3.6213
0.424,1.1326
0.954,3.9066
0.529,1.0529
0.835,3.2549
0.55,1.0387
0.055,3.9183
0.882,3.6634
0.066,3.8586
0.139,3.4399
0.147,3.4163
0.519,0.96865
0.362,1.5654
0.95,3.8627
0.029,4.0364
0.359,1.6267
0.64,1.4657
0.336,1.6717
0.958,4.0656
0.06,3.8771
0.296,2.0797
0.388,1.3314
0.563,1.1327
0.125,3.7343
0.864,3.5376
0.03,3.9659
0.522,0.98935
0.538,0.97043
0.026,3.9205
0.373,1.5763
0.598,1.2523
0.979,3.9637
0.904,3.8243
0.582,1.2359
0.265,2.34
0.068,3.8835
0.17,3.3073
0.236,2.7025
0.707,2.0543
0.679,1.8367
0.944,3.9162
0.117,3.5952
0.398,1.3592
0.495,0.91557
0.286,2.1199
0.224,2.7203
0.468,1.0654
0.014,4.0229
0.983,3.9951
0.229,2.6119
0.786,2.7568
0.477,1.0785
0.49,0.90027
0.037,3.8244
