0.78,0.14,13.69
0.97,0.72,77.445
0.97,0.05,20.276
0.27,0.96,15.346
0.86,0.58,42.139
0.31,0.39,5.4275
0.57,0.09,6.5223
0.92,0.96,107.77
0.2,0.84,9.7763
0.85,0.75,57.361
0.52,0.12,5.9775
0.34,0.25,4.582
0.51,0.86,25.78
0.68,0.89,45.59
0.26,0.38,4.6485
0.34,0.34,5.5034
0.27,0.41,5.1206
0.31,0.45,6.2571
0.2,0.5,4.9988
0.92,0.43,37.316
0.57,0.62,19.103
0.22,0.28,3.4141
0.79,0.39,23.349
0.75,0.2,14.282
0.36,0.52,8.3614
0.2,0.31,3.3822
0.02,0.14,1.3452
0.67,0.1,9.0196
0.03,0.42,2.5645
0.45,0.38,8.1771
0.17,0.44,3.9215
0.73,0.52,25.184
0.08,0.7,5.1569
0.65,0.9,42.552
0.84,0.21,18.822
0.44,0.81,18.863
0.73,0.02,9.3188
0.8,0.43,26.025
0.25,0.35,4.1841
0.89,0.86,80.728
0.83,0.5,32.774
0.06,0.42,2.8102
0.81,0.78,53.956
0.12,0.6,4.8898
0.58,0.34,11.372
0.02,0.73,4.5614
0.64,0.22,10.581
0.74,0.68,35.867
0.23,0.57,6.2738
0.91,0.47,39.391
0.89,0.28,25.258
0.11,0.92,8.7666
0.04,0.53,3.304
0.21,0.24,2.8992
0.21,0.62,6.4936
0.73,0.83,46.979
0.86,0.42,30.452
0.39,0.1,3.9552
0.8,0.52,31.246
0.8,1,81.461
0.19,0.01,1.8167
0.76,0.2,14.505
0.89,0.52,40.834
0.97,0.96,125.16
0.3,0.98,17.378
0.15,0.76,7.1894
0.23,0.77,9.3009
0.53,0.46,12.308
0.84,0.29,22.215
0.6,0.58,19.299
0.07,0.07,1.2507
0.78,0.46,25.92
0.88,0.79,68.098
0.35,0.03,3.0267
0.93,0.71,67.324
0.63,0.67,25.266
0.99,0.62,67.382
0.28,0.86,12.873
0.1,0.13,1.7547
0.57,0.94,36.282
0.7,0.11,10.085
0.76,0.91,60.365
0.9,0.13,19.282
0.82,0.54,34.454
0.24,0.75,9.2317
0.59,0.66,21.943
0.93,0.51,45.135
0.68,0.84,41.289
0.37,0.26,5.0977
0.86,0.52,37.316
0.47,0.4,9.106
0.88,0.77,65.374
0.18,0.03,1.8259
0.57,0.22,8.6351
0.58,0.54,16.837
0.31,0.82,13.027
0.54,0.38,10.802
0.27,0.14,3.0531
0.81,0.08,13.277
0.01,0.06,1.216
0.26,0.54,6.5348
0.37,0.36,6.2599
0.29,0.33,4.6407
0.93,0.46,40.808
0.69,0.23,12.47
0.48,0.37,8.8503
0.1,0.96,9.2211
0.96,0.19,26.015
0.86,0.25,21.786
0.21,0.61,6.413
0.19,0.92,11.083
0.57,0.74,24.326
0.2,0.15,2.5127
0.39,0.68,12.609
0.75,0.42,21.988
0.55,0.09,6.3784
0.44,0.36,7.7834
0.82,0.42,27.129
0.15,0.22,2.3833
0.72,0.91,53.534
0.71,0.28,14.716
0.34,0.72,11.764
0.09,0.53,3.7511
0.06,0.57,3.6723
0.8,0.61,37.404
0.03,0.09,1.3876
0.18,0.65,6.328
0.56,0.25,8.839
0.77,0.73,43.415
1,0.03,21.289
0.84,0.32,23.667
0.56,0.01,5.4522
0.39,0.31,6.0165
0.68,0.3,14.077
0.57,0.3,10.127
0.41,0.88,19.958
0.47,0.3,7.5018
0.35,0.23,4.5209
0.74,0.66,34.353
0.02,0.04,1.1582
0.93,0.18,23.346
0.77,0.48,26.32
0.29,0.74,10.451
0.38,0.39,6.7676
0.88,0.12,17.82
0.66,0.05,7.9905
0.5,0.78,21.387
0.72,0.26,14.597
0.52,0.81,24.111
0.38,0.05,3.4467
0.79,0.17,15.06
0.57,0.25,9.0853
0.22,0.52,5.4268
0.29,0.98,17
0.02,0.68,4.1558
0.96,0.81,89.855
0.92,0.42,36.523
1,0.14,26.516
0.33,0.05,2.9541
0.34,0.31,5.2168
0.42,0.11,4.3755
0.16,0.18,2.2988
0.68,0.08,9.0349
0.4,0.07,3.8505
0.82,0.28,20.46
0.84,0.88,72.338
0.04,0.8,5.6212
0.5,0.51,12.491
0.98,0.96,129.02
0.63,0.29,11.797
0.53,0.74,21.476
0.75,0.66,35.465
0.5,0.46,11.288
0.99,0.48,50.889
0.37,0.29,5.3081
0.38,0.62,10.858
0.69,0.1,9.6881
0,0.5,2.7645
0.28,0.1,2.7431
0.94,0.4,37.358
0.68,0.86,42.985
0.64,0.98,48.405
0.14,0.31,2.7888
0.38,0.88,18.19
0.76,0.8,48.399
0.09,0.98,9.3527
0.27,0.97,15.603
0.52,0.59,15.49
0.77,0.78,47.893
0.31,0.88,14.767
0.45,0.71,16.02
0.98,0.01,19.368
0.08,0.1,1.5486
0.62,0.91,39.704
0.93,0.37,34.195
0.99,0.49,51.865
0.41,0.83,17.938
0.15,0.15,2.1356
0.1,0.16,1.8905
0.54,0.33,9.7422
0.33,0.35,5.538
0.52,0.13,6.23
0.13,0.78,7.0712
0.85,0.74,56.148
0.69,0.76,36.309
0.19,0.58,5.51
0.89,0.83,75.878
0.72,0.37,18.176
0.32,0.42,6.0459
0.59,0.61,19.836
0.57,0.91,34.125
0.02,0.27,1.947
0.38,0.92,19.72
0.79,0.81,54.047
0.45,0.44,9.223
0.56,0.45,13.176
0.62,0.66,24.15
0.92,0.66,59.14
0.82,0.61,39.691
0.84,0.89,73.674
0.27,0.84,12.051
0.82,0.36,24.054
0.21,0.25,3.1787
0.16,0.59,5.3102
0.66,0.53,20.951
0.51,0.22,7.1878
0.28,0.18,3.2169
0.83,0.6,39.915
0.57,0.98,39.219
0.76,0.4,21.841
0.76,0.22,15.084
0.76,0.96,66.668
0.01,0.83,5.4334
0.41,0.06,3.8096
0.97,0.14,24.326
0.44,0.38,7.8664
0.35,0.89,16.877
0.67,0.09,8.9346
0.49,0.36,8.8756
0.82,0.35,23.562
0.75,0.96,64.767
0.33,0.91,16.662
0.6,0.6,20.072
0.48,0.23,6.7167
0.07,0.18,1.7206
0.46,0.64,14.147
0.93,0.56,50.014
0.74,0.87,52.53
0.48,0.11,5.2635
0.12,0.54,4.2793
0.58,0.07,6.5983
0.16,0.98,11.486
0.75,0.09,11.347
0.67,0.12,9.4635
0.71,0.11,10.542
0.5,0.3,8.0679
0.42,0.45,8.6879
0.41,0.9,20.703
0.61,0.09,7.423
0.38,0.1,3.8056
0.46,0.14,5.1709
0.22,0.05,2.1323
0.59,0.82,30.335
0.07,0,1.2182
0.83,0.35,24.254
0.1,0.66,5.0559
0.02,0.51,2.9721
0.65,0.21,10.667
0.61,0.19,9.0098
0.67,0.71,30.959
0.48,0.13,5.4447
0.76,0.59,31.866
0.28,0.21,3.472
0.6,0.23,9.5508
0.69,0.83,41.717
0.97,0.22,28.478
0.73,0.07,10.238
0.18,0.7,6.8754
0.71,0.22,13.104
0.23,0.87,11.322
0.99,0.1,23.748
0.18,0.67,6.5065
0.82,0.15,15.858
0.71,0.52,23.74
0.45,0.19,5.64
0.32,0.59,8.4324
0.39,0.43,7.5945
0.01,0.16,1.3353
0.86,0.11,16.507
0.39,0.63,11.38
0.14,0.69,6.0893
0.02,0.52,2.9514
0.79,0.18,15.199
0.23,0.67,7.5278
0.48,0.69,16.946
0.58,0.22,8.9411
0.79,0.5,29.09
0.15,0.77,7.3144
0.87,0.21,20.653
0.03,0.77,5.0512
0.19,0.49,4.6793
0.42,0.2,5.412
0.61,0.37,13.036
0.85,0.31,23.722
0.31,0.7,10.287
0.58,0.98,40.408
0.33,0.14,3.617
0.24,0.77,9.6093
0.84,0.85,68.101
0.25,0.65,7.7866
0.66,0.17,10.242
0.46,0.38,8.487
0.55,0.73,22.431
0.51,0.65,17.021
0.45,0.32,7.3265
0.65,0.28,12.279
0.87,0.01,13.859
0.9,0.22,23.025
0.81,1,83.909
0.02,0.69,4.255
0.49,0.99,31.463
0.06,0.26,1.9608
0.76,0.69,38.799
0.4,0.7,13.434
0.03,0.51,3.0196
0.15,0.87,8.8981
0.86,0.81,66.68
0.76,0.34,19.287
0.11,0.03,1.4419
0.93,0.9,98.473
0.42,0.49,9.4635
0.39,0.05,3.5821
0.91,0.8,75.856
0.28,0.81,11.687
0.16,0.67,6.1469
0.98,0.07,21.641
0.32,0.48,6.7975
0.13,0.62,5.1798
0.44,0.94,24.544
0.58,0.01,5.825
0.38,0.04,3.3715
0.79,0.79,51.899
0.67,0.36,15.373
0.01,0.78,5.0241
0.51,0.42,10.723
0.64,0.06,7.6322
0.08,0.08,1.4207
0.89,0.77,67.315
0.75,0.11,11.835
0.28,0.48,5.976
0.13,0.68,5.8017
0.29,0.23,3.742
0.6,0.32,11.39
0.39,0.72,13.566
0.25,0.06,2.3245
0.53,0.35,9.8938
0.39,0.04,3.5382
0.29,0.4,5.222
0.91,0.91,94.555
0.95,0.66,64.836
0.71,0.1,10.315
0.63,0.03,6.8991
0.51,0.67,17.611
0.9,0.71,61.546
0.71,0.38,17.99
0.4,0.58,10.537
0.64,0.78,32.369
0.7,0.35,16.45
0.95,0.87,98.467
0.63,0.49,17.611
0.45,0.59,12.636
0.6,0.96,41.199
0.54,0.02,5.2303
0.29,0.35,4.7358
0.08,0.65,4.6869
0.52,0.83,24.948
0.83,0.23,19.154
0.05,0.88,6.6696
0.76,0.14,12.854
0.76,0.77,45.598
0.5,0.69,17.875
0.77,0.08,11.835
0.94,0.82,86.504
0.64,0.19,9.981
0.51,0.72,19.513
0.44,0.9,22.566
0.11,0.18,1.9667
0.08,0.12,1.6799
0.9,0.89,88.235
0.29,0.27,4.1923
0.09,0.49,3.5736
0.94,0.77,78.27
0.02,0.05,1.167
0.37,0.8,14.87
0.98,0.26,31.668
0.95,0.48,45.103
0.93,0.97,113.23
0.94,0.34,33.191
0.05,0.27,1.9381
0.48,0.56,12.971
0.01,0.85,5.6608
0.52,0.17,6.5763
